segment,n_loans,n_customers,pct_of_book,total_originated_cr,pct_of_orig,default_rate_pct,ever_90_rate_pct,mean_ticket_inr,mean_apr_pct,mean_value_proxy_inr,total_value_proxy_cr,pct_loss_making
1. BNPL (all grades),17236,15961,34.8,25.9,1.9,10.03,2.94,15043.0,29.2,-912.0,-1.57,77.7
2. Personal Prime (A-B),9988,9100,20.1,151.1,10.8,3.81,3.44,151272.0,18.6,4578.0,4.57,5.9
3. Personal Mid (C),6513,6090,13.1,93.6,6.7,6.71,6.02,143743.0,24.0,6648.0,4.33,6.8
4. Personal Subprime (D-E),5844,5386,11.8,72.5,5.2,12.59,11.65,124045.0,29.2,5116.0,2.99,12.6
5. SME Prime (A-B),4558,4379,9.2,518.1,37.1,2.74,2.54,1136680.0,16.0,32204.0,14.68,2.6
6. SME Non-prime (C-D-E),5461,5260,11.0,536.4,38.4,7.23,6.74,982242.0,21.8,40955.0,22.37,7.0
